title,fileTitle,license,author,threedLink,scale/x,scale/y,scale/z,size/x,size/y,size/z,useMask,pivot/x,pivot/y,isObject3D
bedsideTable,bedsideTable,CC BY 4.0,SirOccor,#threed-link,1,1,1,50.01,48,41.44,false,0,0,false
bike,bike,CC BY 4.0,rodrigoalves123,#threed-link,1,1,1,40.72,76.48,116.31,false,0,0,false
biurko3,biurko3,CC BY 4.0,hilux,#threed-link,1,1,1,120.16,72.04,60.22,false,0,0,false
boiler,boiler,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,17.89,20.01,16.22,false,0,0,false
bonecoDeNeve,bonecoDeNeve,CC BY 4.0,zema,#threed-link,1,1,1,94.03,98.81,71.06,false,0,0,false
book,book,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,28.15,2.44,18.41,false,0,0,false
breadBox,breadBox,CC BY 4.0,oldtimer,#threed-link,1,1,1,56.15,27.52,27.52,false,0,0,false
bunkBed,bunkBed,CC BY 4.0,NabHlEsCK,#threed-link,1,1,1,113.09,159.95,204.99,false,0,0,false
cafe_set_mota_chair,cafe_set_mota_chair,CC BY 4.0,voodoc,#threed-link,1,1,1,60.87,78.3,55.82,false,0,0,false
cafe_set_mota_table,cafe_set_mota_table,CC BY 4.0,voodoc,#threed-link,1,1,1,62.21,73.96,62.21,false,0,0,false
cafe_set_tonon_chair,cafe_set_tonon_chair,CC BY 4.0,voodoc,#threed-link,1,1,1,48.02,82.2,53.31,false,0,0,false
cafe_set_tonon_table,cafe_set_tonon_table,CC BY 4.0,voodoc,#threed-link,1,1,1,66,64.43,52.79,false,0,0,false
chairWithCushion,chairWithCushion,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,42.3,91.08,44.58,false,0,0,false
chairDeck,chairDeck,CC BY 4.0,north.star,#threed-link,1,1,1,67.35,55.27,208.5,false,0,0,false
chessboard,chessboard,CC BY 4.0,swapnilrocks98,#threed-link,1,1,1,30,8.01,30,false,0,0,false
chest,chest,CC BY 4.0,elhzar,#threed-link,1,1,1,143.48,82.05,53.57,false,0,0,false
childChair,childChair,CC BY 4.0,Radio_hate,#threed-link,1,1,1,38.18,67.01,39.5,false,0,0,false
choppingBoard,choppingBoard,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,37.58,4.51,26.02,false,0,0,false
cocktailGlass,cocktailGlass,CC BY 4.0,xablend1122,#threed-link,1,1,1,8.33,13.08,8.33,false,0,0,false
coffeePress,coffeePress,CC BY 4.0,cephei,#threed-link,1,1,1,16.27,26.5,10.65,false,0,0,false
coffeeTable,coffeeTable,CC BY 4.0,nikitron,#threed-link,1,1,1,120.04,44.99,70.08,false,0,0,false
cornerSofa,cornerSofa,CC BY 4.0,nikitron,#threed-link,1,1,1,345.76,85.53,155,false,0,0,false
decorativePlant,decorativePlant,CC BY 4.0,Nmn9,#threed-link,1,1,1,31.77,60.58,32.21,false,0,0,false
ella_chair_f,ella_chair_f,CC BY 4.0,sizzler,#threed-link,1,1,1,4.57,9.16,5.64,false,0,0,false
espressokettle,espressokettle,CC BY 4.0,krabz,#threed-link,1,1,1,17.87,15.22,9.39,false,0,0,false
gift,gift,CC BY 4.0,tadine,#threed-link,1,1,1,23.19,25.08,18.08,false,0,0,false
glass,glass,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,7.51,19.53,7.41,false,0,0,false
green_stool,green_stool,CC BY 4.0,dalenryder,#threed-link,1,1,1,42.91,45.97,42.91,false,0,0,false
hangingLight,hangingLight,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,43.88,86.04,43.88,false,0,0,false
hood,hood,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,101.55,48.59,39.18,false,0,0,false
juniorBed,juniorBed,CC BY 4.0,SirOccor,#threed-link,1,1,1,105.69,65.61,197.79,false,0,0,false
kitchenblender,kitchenblender,CC BY 4.0,PrinterKiller,#threed-link,1,1,1,15.61,42.73,22.34,false,0,0,false
kitchenDrawersCabinet,kitchenDrawersCabinet,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,44.22,87.8,71.22,false,0,0,false
kitchenGlassDoorCabinet,kitchenGlassDoorCabinet,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,33.6,77.13,36.91,false,0,0,false
kitchenIsland,kitchenIsland,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,93.88,83.08,69.94,false,0,0,false
kitchenLowerCabinet,kitchenLowerCabinet,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,97.58,87.8,71.68,false,0,0,false
kitchenScale,kitchenScale,CC BY 4.0,oldtimer,#threed-link,1,1,1,23,27.5,23,false,0,0,false
kitchenSink,kitchenSink,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,97.58,97.63,71.68,false,0,0,false
kitchenSmallLowerCabinet,kitchenSmallLowerCabinet,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,48.68,87.8,71.7,false,0,0,false
kitchenSmallUpperCabinet,kitchenSmallUpperCabinet,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,34.76,77.13,36.91,false,0,0,false
kitchenTools,kitchenTools,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,44,31.59,9.78,false,0,0,false
kitchenUpperCabinet,kitchenUpperCabinet,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,109.43,77.13,36.91,false,0,0,false
