title,license,author,threedLink,scale/x,scale/y,scale/z,size/x,size/y,size/z,useMask,pivot/x,pivot/y
greekCarpet,Free Art License 1.3,Theo Blonk,#threed-link,1,1,1,170,0.69,120,,,
greenHouse,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,310,290,310,,,
halfLandingStaircase,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,200,353,260,false,,
handrail,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,94,87.78,3,,,
hangedToilet,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,38,82,56.49,,,
hangingLight2,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,32.32,37.17,32.32,,,
hangingSuits,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,60.02,94,80,,,
hatAndCoatStand,Free Art License 1.3,Baffab,#threed-link,1,1,1,46,161.82,46,,,
horizontalFrame,Free Art License 1.3,Ola-Kristian Hoff & Annick,#threed-link,1,1,1,155,130,9.99,,,
ladder,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,56,289.99,12,,,
ladder2,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,44,225,84.99,,,
largeCouch,Free Art License 1.3,Pencilart,#threed-link,1,1,1,279.29,88.5,90.45,,,
latticeChair,Free Art License 1.3,Pencilart,#threed-link,1,1,1,1.99,4.05,1.96,,,
marbleTable,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,120,70,120,,,
mirror,Free Art License 1.3,Emmanuel Puybaret,#threed-link,1,1,1,40,40,0.49,,,
monitorLCD,Free Art License 1.3,Carvalho,#threed-link,1,1,1,0.66,0.56,0.3,,,
neoclassicWindow,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,200,219.99,60,true,,
officeChair,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,62.62,87.33,59.66,,,
officeChair2,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,62.88,101.47,68.8,,,
officeChair3,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,55.88,107.02,56.35,,,
openedPatioDoor,Free Art License 1.3,Pencilart,#threed-link,1,1,1,12.32,14.87,6.06,true,,
openedPatioGlassDoor,Free Art License 1.3,Pencilart,#threed-link,1,1,1,12.32,14.87,6.06,true,,
openedQuadrupleGlassDoors,Free Art License 1.3,Pencilart,#threed-link,1,1,1,24.62,14.87,6.34,true,,
outdoorStaircase,Free Art License 1.3,DaniFeri,#threed-link,1,1,1,128,205.5,282,false,,
ovalMirror,Free Art License 1.3,Emmanuel Puybaret,#threed-link,1,1,1,54.9,104.88,0.99,,,
pan,Free Art License 1.3,Toomy,#threed-link,1,1,1,17.42,8.46,30.33,,,
pan2,Free Art License 1.3,Toomy,#threed-link,1,1,1,25.72,5.4,43.17,,,
patioDoor,Free Art License 1.3,Pencilart,#threed-link,1,1,1,7.39,14.87,1.36,true,,
patioSideDoor,Free Art License 1.3,Pencilart,#threed-link,1,1,1,4.51,14.87,0.46,true,,
pergola,Free Art License 1.3,Sophie,#threed-link,1,1,1,240.02,262.99,255.6,,,
photocopierPrinter,Free Art License 1.3,Christophe Tellerain,#threed-link,1,1,1,141.46,147,92.89,,,
picnicTable,Free Art License 1.3,Hawkdawg,#threed-link,1,1,1,180.16,75,145.27,,,
picture,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,133.96,81.46,9.48,,,
pillow,Free Art License 1.3,Pencilart,#threed-link,1,1,1,1.06,1.03,0.44,,,
pinewoodRackFullHeight,Free Art License 1.3,Dingenskirchen,#threed-link,1,1,1,89.79,227,30.17,,,
pinewoodRackFullHeightHalfWidth,Free Art License 1.3,Dingenskirchen,#threed-link,1,1,1,48.79,227,30.17,,,
pinewoodRackLowHeight,Free Art License 1.3,Dingenskirchen,#threed-link,1,1,1,89.79,56.5,30.17,,,
pinewoodRackMediumHeight,Free Art License 1.3,Dingenskirchen,#threed-link,1,1,1,89.8,143,30.17,,,
plant,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,96.68,85.35,96.18,,,
plantersDesk,Free Art License 1.3,Pencilart,#threed-link,1,1,1,4.38,9.24,3.79,,,
poolLadder,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,50,190,50,,,
pumpkin,Free Art License 1.3,Sophie,#threed-link,1,1,1,29.37,24.71,29.38,,,
quarterLandingStaircase,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,166.03,362,299.99,false,,
quarterLandingStaircase2,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,224.99,351.65,228.28,false,,
rail,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,329.8,234.48,5.99,,,
railingGlass,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,155.03,130,5,,,
rainGutterPart1,Free Art License 1.3,Dingenskirchen,#threed-link,1,1,1,200,6.5,12,,,
rainGutterPart2,Free Art License 1.3,Dingenskirchen,#threed-link,1,1,1,10,260,91.59,,,
rectangularMirror,Free Art License 1.3,Emmanuel Puybaret,#threed-link,1,1,1,50.08,70.05,0.97,,,
redCabinet,Free Art License 1.3,Ben Omari,#threed-link,1,1,1,52.4,60.2,55.6,,,
redCabinetWithBasin,Free Art License 1.3,Ben Omari,#threed-link,1,1,1,111,93,69.5,,,
redDrawers,Free Art License 1.3,Ben Omari,#threed-link,1,1,1,1.93,3.01,2.78,,,
redIsland,Free Art License 1.3,Ben Omari,#threed-link,1,1,1,6.02,4.01,4.21,,,
refridgerator,Free Art License 1.3,Pencilart,#threed-link,1,1,1,0.67,1.47,0.57,,,
riceCooker,Free Art License 1.3,Toomy,#threed-link,1,1,1,25.76,22.81,22.5,,,
rockingChair,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,65,109,80,,,
roundTable,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,53.81,68.8,53.81,,,
roundVent,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,22,23.99,30,,,
sauna,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,120,198,131.63,,,
schoolDesk,Free Art License 1.3,Fabrice Delobe,#threed-link,1,1,1,4.99,8.02,7.89,,,
secretarysDesk,Free Art License 1.3,Pencilart,#threed-link,1,1,1,88.65,124.58,66.26,,,
semicircularStaircase,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,600,355.25,301,false,,
shelfUnit,Free Art License 1.3,Gaël Bettinelli,#threed-link,1,1,1,155.89,183,41.38,,,
shelving,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,119,45.62,30.91,,,
shoeCabinet,Free Art License 1.3,Gaël Bettinelli,#threed-link,1,1,1,71.7,102.34,39.57,,,
shopWindow,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,300,200,14.99,true,,
showerCabin,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,89.99,199,90,,,
sliderPocketDoor,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,94.84,212.5,12.19,true,,
smallBookShelves,Free Art License 1.3,Don Ravey,#threed-link,1,1,1,68.01,82.35,26.06,,,
sofaBed,Free Art License 1.3,Gaël Bettinelli,#threed-link,1,1,1,182,93.09,93.35,,,
sofa3,Free Art License 1.3,Peter Smolik,#threed-link,1,1,1,185,83.53,74.04,,,
solarPanel,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,66.79,3.5,148.5,,,
spiralStaircase,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,230,353.28,230,false,,
